log2Enrich	feature	primary_diagnosis	cohort
418	-1.097	Intergenic	colon	Cancer
419	1.315	SINE	colon	Cancer
420	-1.516	LINE	colon	Cancer
421	0.904	CpG-Island	colon	Cancer
422	1.266	Promoter	colon	Cancer
423	0.921	5UTR	colon	Cancer
424	1.479	Exon	colon	Cancer
425	0.402	Intron	colon	Cancer
426	0.99	TTS	colon	Cancer
427	0.698	3UTR	colon	Cancer
428	-1.188	Intergenic	colon	Cancer
429	1.326	SINE	colon	Cancer
430	-1.432	LINE	colon	Cancer
431	1.115	CpG-Island	colon	Cancer
432	1.542	Promoter	colon	Cancer
433	1.122	5UTR	colon	Cancer
434	1.632	Exon	colon	Cancer
435	0.269	Intron	colon	Cancer
436	1.117	TTS	colon	Cancer
437	0.818	3UTR	colon	Cancer
438	-1.529	Intergenic	colon	Cancer
439	1.587	SINE	colon	Cancer
440	-1.694	LINE	colon	Cancer
441	-0.736	CpG-Island	colon	Cancer
442	0.253	Promoter	colon	Cancer
443	0.69	5UTR	colon	Cancer
444	1.22	Exon	colon	Cancer
445	0.555	Intron	colon	Cancer
446	0.468	TTS	colon	Cancer
447	0.76	3UTR	colon	Cancer
448	-1.524	Intergenic	colon	Cancer
449	1.352	SINE	colon	Cancer
450	-1.231	LINE	colon	Cancer
451	1.243	CpG-Island	colon	Cancer
452	1.53	Promoter	colon	Cancer
453	1.227	5UTR	colon	Cancer
454	1.734	Exon	colon	Cancer
455	0.411	Intron	colon	Cancer
456	1.148	TTS	colon	Cancer
457	0.868	3UTR	colon	Cancer
458	-1.245	Intergenic	colon	Cancer
459	1.354	SINE	colon	Cancer
460	-1.679	LINE	colon	Cancer
461	1.476	CpG-Island	colon	Cancer
462	1.529	Promoter	colon	Cancer
463	1.225	5UTR	colon	Cancer
464	1.781	Exon	colon	Cancer
465	0.363	Intron	colon	Cancer
466	1.196	TTS	colon	Cancer
467	0.898	3UTR	colon	Cancer
468	-1.056	Intergenic	colon	Cancer
469	1.291	SINE	colon	Cancer
470	-1.651	LINE	colon	Cancer
471	1.591	CpG-Island	colon	Cancer
472	1.596	Promoter	colon	Cancer
473	1.15	5UTR	colon	Cancer
474	1.867	Exon	colon	Cancer
475	0.476	Intron	colon	Cancer
476	1.228	TTS	colon	Cancer
477	0.99	3UTR	colon	Cancer
478	-1.151	Intergenic	colon	Cancer
479	1.266	SINE	colon	Cancer
480	-1.847	LINE	colon	Cancer
481	1.307	CpG-Island	colon	Cancer
482	1.433	Promoter	colon	Cancer
483	1.042	5UTR	colon	Cancer
484	1.842	Exon	colon	Cancer
485	0.392	Intron	colon	Cancer
486	1.183	TTS	colon	Cancer
487	0.945	3UTR	colon	Cancer
488	-1.35	Intergenic	colon	Cancer
489	1.429	SINE	colon	Cancer
490	-1.725	LINE	colon	Cancer
491	1.086	CpG-Island	colon	Cancer
492	1.524	Promoter	colon	Cancer
493	1.038	5UTR	colon	Cancer
494	1.691	Exon	colon	Cancer
495	0.323	Intron	colon	Cancer
496	1.142	TTS	colon	Cancer
497	0.869	3UTR	colon	Cancer
498	-1.367	Intergenic	colon	Cancer
499	1.525	SINE	colon	Cancer
500	-1.803	LINE	colon	Cancer
501	1.093	CpG-Island	colon	Cancer
502	1.407	Promoter	colon	Cancer
503	1.153	5UTR	colon	Cancer
504	1.722	Exon	colon	Cancer
505	0.379	Intron	colon	Cancer
506	1.139	TTS	colon	Cancer
507	0.924	3UTR	colon	Cancer
508	-1.451	Intergenic	colon	Cancer
509	1.487	SINE	colon	Cancer
510	-1.715	LINE	colon	Cancer
511	1.083	CpG-Island	colon	Cancer
512	1.419	Promoter	colon	Cancer
513	1.042	5UTR	colon	Cancer
514	1.623	Exon	colon	Cancer
515	0.291	Intron	colon	Cancer
516	1.074	TTS	colon	Cancer
517	0.825	3UTR	colon	Cancer
518	-1.434	Intergenic	colon	Cancer
519	1.539	SINE	colon	Cancer
520	-1.645	LINE	colon	Cancer
521	0.96	CpG-Island	colon	Cancer
522	1.34	Promoter	colon	Cancer
523	0.807	5UTR	colon	Cancer
524	1.45	Exon	colon	Cancer
525	0.278	Intron	colon	Cancer
526	1.026	TTS	colon	Cancer
527	0.694	3UTR	colon	Cancer
528	-1.363	Intergenic	colon	Cancer
529	1.514	SINE	colon	Cancer
530	-1.513	LINE	colon	Cancer
531	0.867	CpG-Island	colon	Cancer
532	1.319	Promoter	colon	Cancer
533	1.056	5UTR	colon	Cancer
534	1.461	Exon	colon	Cancer
535	0.339	Intron	colon	Cancer
536	1.031	TTS	colon	Cancer
537	0.802	3UTR	colon	Cancer
538	-1.337	Intergenic	colon	Cancer
539	1.45	SINE	colon	Cancer
540	-1.504	LINE	colon	Cancer
541	1.172	CpG-Island	colon	Cancer
542	1.429	Promoter	colon	Cancer
543	1.22	5UTR	colon	Cancer
544	1.738	Exon	colon	Cancer
545	0.301	Intron	colon	Cancer
546	1.146	TTS	colon	Cancer
547	0.891	3UTR	colon	Cancer
548	-1.317	Intergenic	colon	Cancer
549	1.478	SINE	colon	Cancer
550	-1.692	LINE	colon	Cancer
551	1.205	CpG-Island	colon	Cancer
552	1.519	Promoter	colon	Cancer
553	1.161	5UTR	colon	Cancer
554	1.737	Exon	colon	Cancer
555	0.293	Intron	colon	Cancer
556	1.119	TTS	colon	Cancer
557	0.873	3UTR	colon	Cancer
558	-1.304	Intergenic	colon	Cancer
559	1.521	SINE	colon	Cancer
560	-1.815	LINE	colon	Cancer
561	1.241	CpG-Island	colon	Cancer
562	1.633	Promoter	colon	Cancer
563	1.265	5UTR	colon	Cancer
564	1.824	Exon	colon	Cancer
565	0.357	Intron	colon	Cancer
566	1.194	TTS	colon	Cancer
567	0.959	3UTR	colon	Cancer
568	-1.505	Intergenic	colon	Cancer
569	1.473	SINE	colon	Cancer
570	-1.735	LINE	colon	Cancer
571	1.428	CpG-Island	colon	Cancer
572	1.599	Promoter	colon	Cancer
573	1.256	5UTR	colon	Cancer
574	1.763	Exon	colon	Cancer
575	0.334	Intron	colon	Cancer
576	1.117	TTS	colon	Cancer
577	0.911	3UTR	colon	Cancer
578	-1.178	Intergenic	colon	Cancer
579	1.353	SINE	colon	Cancer
580	-1.598	LINE	colon	Cancer
581	1.457	CpG-Island	colon	Cancer
582	1.664	Promoter	colon	Cancer
583	1.173	5UTR	colon	Cancer
584	2.112	Exon	colon	Cancer
585	0.471	Intron	colon	Cancer
586	1.381	TTS	colon	Cancer
587	1.236	3UTR	colon	Cancer
588	-1.302	Intergenic	colon	Cancer
589	1.309	SINE	colon	Cancer
590	-1.952	LINE	colon	Cancer
591	1.366	CpG-Island	colon	Cancer
592	1.443	Promoter	colon	Cancer
593	1.06	5UTR	colon	Cancer
594	1.793	Exon	colon	Cancer
595	0.512	Intron	colon	Cancer
596	1.109	TTS	colon	Cancer
597	0.904	3UTR	colon	Cancer
598	-0.822	Intergenic	colon	Cancer
599	1.128	SINE	colon	Cancer
600	-1.807	LINE	colon	Cancer
601	1.314	CpG-Island	colon	Cancer
602	1.452	Promoter	colon	Cancer
603	1.125	5UTR	colon	Cancer
604	1.594	Exon	colon	Cancer
605	0.379	Intron	colon	Cancer
606	1.095	TTS	colon	Cancer
607	0.839	3UTR	colon	Cancer
608	-1.123	Intergenic	colon	Cancer
609	1.343	SINE	colon	Cancer
610	-1.613	LINE	colon	Cancer
611	1.442	CpG-Island	colon	Cancer
612	1.643	Promoter	colon	Cancer
613	1.184	5UTR	colon	Cancer
614	1.88	Exon	colon	Cancer
615	0.388	Intron	colon	Cancer
616	1.232	TTS	colon	Cancer
617	1.023	3UTR	colon	Cancer
618	-1.367	Intergenic	colon	Cancer
619	1.436	SINE	colon	Cancer
620	-1.864	LINE	colon	Cancer
621	1.627	CpG-Island	colon	Cancer
622	1.811	Promoter	colon	Cancer
623	1.295	5UTR	colon	Cancer
624	2.044	Exon	colon	Cancer
625	0.542	Intron	colon	Cancer
626	1.308	TTS	colon	Cancer
627	1.119	3UTR	colon	Cancer
628	-1.118	Intergenic	colon	Cancer
629	1.18	SINE	colon	Cancer
630	-2.006	LINE	colon	Cancer
631	1.175	CpG-Island	colon	Cancer
632	1.531	Promoter	colon	Cancer
633	1.063	5UTR	colon	Cancer
634	1.634	Exon	colon	Cancer
635	0.216	Intron	colon	Cancer
636	1.147	TTS	colon	Cancer
637	0.777	3UTR	colon	Cancer
638	-1.462	Intergenic	colon	Cancer
639	1.647	SINE	colon	Cancer
640	-1.882	LINE	colon	Cancer
641	1.218	CpG-Island	colon	Cancer
642	1.572	Promoter	colon	Cancer
643	1.264	5UTR	colon	Cancer
644	1.781	Exon	colon	Cancer
645	0.377	Intron	colon	Cancer
646	1.145	TTS	colon	Cancer
647	0.97	3UTR	colon	Cancer
648	-1.12	Intergenic	colon	Cancer
649	1.306	SINE	colon	Cancer
650	-1.614	LINE	colon	Cancer
651	1.066	CpG-Island	colon	Cancer
652	1.166	Promoter	colon	Cancer
653	0.961	5UTR	colon	Cancer
654	1.572	Exon	colon	Cancer
655	0.316	Intron	colon	Cancer
656	1.072	TTS	colon	Cancer
657	0.777	3UTR	colon	Cancer
658	-1.383	Intergenic	colon	Cancer
659	1.509	SINE	colon	Cancer
